CaseType,weighted_sum_trans_equity,female_male_ratio,gross_assets,liability_assets_ratio,oper_inc_net_inc_ratio,main_busi_net_inc_ratio,profit_net_inc_ratio,regis_capital,paidin_capital,certif,modify_times,tax_abnormal,register_type,economic_type,pnl_dummy,fair_value_change,oper_total_profit_ratio,total_profit,asset_re
3,,0.638888889,999.4844005,-0.000445605,4.617023544,4.558884384,0.08140815,1000,0,,,0,19,166,0,-0.517012345,0.523348,-49501.96633,9999998.758
3,,,,,,,,1000,1000,,3,0,8,192,1,-0.170677144,0.825690575,-64327.10367,16065125.33
3,,2.625,,,,,,1000,0,,,0,8,211,-1,-0.786912453,-1.583701681,-0.302915638,-0.331719494
3,,,,,,,,0,0,,,0,,,,,,,
3,,0.909090909,0.599774477,2.687587361,-0.45672251,-0.753815104,2.448926511,3000,0,,,0,8,192,0.333333333,0.532976884,-1.431271899,-0.20409117,33333332.91
3,,,,,,,,5000,5000,,18,0,8,182,-1,0.906919555,-0.062549595,1.208080982,-0.434511652
3,,,,,,,,3,3,,,0,8,61,,,,,
3,,,0.589751262,2.097520992,-0.89632628,-0.926563011,-1.182531176,1000,0,,,1,8,206,0.333333333,-0.016250286,0.327332893,-165.8234025,-0.981144827
3,,,,,,,,0,0,,,0,,,,,,,
3,,,,,,,,0,0,,,0,,,,,,,
3,,,,,,,,,0,,,0,8,222,1,-0.687795828,-0.739652437,-1.277563588,0.655512226
3,,,,,,,,50,,,,0,,,,,,,
3,,1.277777778,-0.4028806,1.461209404,1.069329488,-0.364950645,-0.361459259,1000,0,,4,0,19,222,0.333333333,-0.015589961,0.572414969,-202.0474076,57333.32955
3,,0.573699243,,,,,,36000,36000,1,17,0,15,168,0.666666667,-38.62559114,1.002913322,63930450.07,3876600000
3,,,,,,,,10,,,1,0,,,,,,,
3,,1.555555556,-0.11486414,-3.943806695,0.008847302,-1.464103601,0.413368858,499,0,,4,0,19,214,-1,0.975043558,0.999552174,-1999.933116,2999.570322
3,,,1787.883513,0.833314445,-896.4907723,-895.8437648,-0.548590503,300,0,,,0,8,27,1,,0.999853167,-5689.62498,1788.783888
3,,,,,,,,2,,,,0,,,,,,,
3,,0.455555556,687.8073359,0.291064515,0.429224158,0.827345254,-1.4914437,500,500,,12,0,19,74,,,,,
3,,,,,,,,2000,0,,,0,8,192,1,0.433900385,1.52682814,-0.366238144,-0.598383333
3,,3.5,,,,,,0,0,,,0,,,,,,,
3,,,,,,,,80,0,,,0,,,,,,,
3,,,,,,,,1000,200,,2,0,8,42,,,,,
0,,,,,,,,30,0,,,0,,,,,,,
3,,,,,,,,0,,,,0,,,,,,,
1,,0.439801847,,,,,,50,50,2,3,0,8,151,0.333333333,-0.289329543,0.106128898,316388.159,4717431.522
3,,0.532467532,,,,,,1000,1000,,,0,8,222,-0.333333333,-2.079825226,0.789690814,-0.401576501,6666700.139
3,,0.527777778,,,,,,10000,0,,4,0,8,238,0.5,0.407437635,0.999864322,-4981.859725,3365.856403
3,,,,,,,,100,,,,0,,,,,,,
3,,,,,,,,50,0,,,0,8,206,-1,1.689425896,1.594793702,0.339579476,-0.945372002
3,,,,,,,,100,,,33,0,,,,,,,
3,,0.803659256,,,216.0864511,215.3242959,,0,0,,4,0,26,207,1,0.754133172,-2.54966785,0.836142661,-1.216817242
3,301.6248431,0.508333333,,,,,,1000,0,,11,0,19,211,1,-0.246697232,0.999992995,-40704.9078,750200.8115
3,,,,,,,,50,50,,1,0,8,60,,,,,
3,,,,,,,,0,0,,1,0,8,179,1,1.75321482,111.0833646,0.021629318,1.486133187
3,,,,,,,,100,100,,2,0,19,134,1,-0.444388373,0.660432365,-2175.353196,2.883035347
3,,0.707386364,79.14013072,0.035852532,-10.67152681,-10.69959712,1.007387094,1000,0,,13,0,8,172,1,-0.517238183,0.965660591,-102162.5827,287599.3301
3,,,,,,,,3,,,1,0,,,,,,,
3,,,,,,,,15,,,,0,,,,,,,
3,,,,,,,,10,,,6,0,,,,,,,
3,,0.851851852,,,,,,100,0,,2,0,19,133,0.5,-0.250157288,0.643330269,43558.39255,106866.4301
3,,,,,,,,0,0,,,0,8,222,-1,-0.819027389,-2.877271308,-0.363446785,0.914625529
3,8.865980511,0.750793651,0.553738227,0.520422361,1.135973972,1.419927796,-1.169206769,10000,0,,6,0,8,206,1,-1.014015687,0.03824541,-1.003307412,0.096831803
3,,,,,,,,3000,0,,,0,,,,,,,
3,,0.892857143,,,,,,0,0,,12,0,6,178,-1,1.580484029,-2.207446262,-0.898439985,0.276084453
3,,,0.621915716,-0.948461255,-1.423415792,2.40322164,4.498493687,1000,1000,,17,0,8,184,0.333333333,0.278075185,0.094550463,0.547693471,333.9676719
3,,,,,,,,0,0,,,0,19,212,0,-2.711674837,7.341960143,0.263955246,4.489480976
3,,,,,,,,10,10,,,0,,,,,,,
0,,,,,,,,11000,11000,,65,0,8,67,,,,,
0,,,,,,,,11000,11000,,65,0,8,67,,,,,
3,,,999.9038338,0.000614741,1.624716967,1.015462423,-0.777953915,1000,1000,,4,0,8,222,-1,-1.158189272,1.236086259,-0.351476985,0.804796446
2,,,,,,,,5000,5000,1,6,0,19,221,0,0.798669904,-4.207754588,0.341386987,2500000000
3,,,,,,,,10,10,,4,0,8,211,-1,0.619854017,1.235786971,-0.56777646,-0.302083638
3,,,,,,,,100,,,,0,,,,,,,
3,,,,,,,,10,,,,0,,,,,,,
3,,,,,,,,0,,,14,0,,,,,,,
3,,2.348484848,,,,,,5000,5000,,1,0,19,206,0.333333333,0.677201465,1.185574759,-212999.7109,16728999.91
3,,,,,,,,10,10,,6,0,19,211,-1,1.487576777,-0.302148176,0.66030347,99999.36075
3,,,,,,,,1000,0,,,0,8,192,-1,1.551664216,2.253601276,-0.619953656,0.08243058
3,,,,,,,,1000,0,,,1,8,192,-1,-0.841054988,-3.807744324,1.089126744,-0.723744259
3,,0.723214286,,,,,,600,600,,6,0,,,,,,,
3,,,,,,,,500,0,,,0,8,211,1,0.296458648,-0.160236691,-0.375154645,-0.01126992
3,,1.057944862,,,,,,0,0,1,20,0,,,,,,,
3,,0.333333333,,,,,,0,0,2,18,0,,,,,,,
3,,,,,,,,2000,2000,,1,0,,,,,,,
3,,0.2,201.0182354,0.004789,2.310731644,1.497639419,1.161840587,200,0,,4,0,8,211,1,0.199391145,1.075564258,-0.675830591,666734.0675
3,,,,,,,,3,3,,4,0,8,220,-1,-0.128021773,6.987450061,-0.279801501,15001.51827
3,,,,,,,,100,0,,,0,8,210,1,-0.180839639,0.472658956,-0.511383023,0.333425951
3,,,,,,,,50,50,,,0,,,,,,,
3,,,999.8662885,,,,,1000,1000,,4,0,8,222,1,0.922784736,1.29470194,-0.847476351,10010002.21
3,76.660246,0.437169312,935.1938531,0.468898513,0.003121651,-0.00243193,0.998243097,10000,1000,,39,0,19,236,0.2,-0.183736215,0.740868632,-151832.6155,7338139.665
3,,,,,,,,5,5,,,0,8,70,,,,,
3,,,,,,,,100,0,,1,0,8,211,1,1.509988756,1.475804841,1.171582907,2.933278
3,,,,,,,,3000,0,,,0,,,,,,,
3,,1.766666667,9999999.171,-3.73E-08,-0.259670513,0.240909368,-0.092842423,1000,1000,,14,0,8,227,0.2,0.024808223,-0.335404665,0.534376894,80000000000
3,,,,,,,,10,0,,,0,,,,,,,
3,,0.928205128,,,,,,0,0,2,24,0,,,,,,,
3,79.73906854,0.391653962,,,,,,39998.4,21998.4,,32,0,8,206,0.333333333,-0.304592558,0.391600419,2477489.851,345738666.9
1,,,,,,,,9999,9999,,9,0,19,238,-0.333333333,1.047603352,0.577297247,-233276.6013,65050267.04
3,175.2016378,0.289746544,,,,,,30588,10000,,40,0,8,221,-0.333333333,0.75266209,-2.870572036,3902069.373,348208600.1
3,,0.908333333,,,,,,30000,0,,5,0,19,206,-0.333333333,0.033884492,1.000049216,-44336.7258,117623332.6
3,,,,,,,,1000,1000,,,0,,,,,,,
3,,,,,,,,81,81,,4,0,8,222,1,0.291116333,-3.938511426,0.211733093,642058.2262
3,,,,,,,,500,0,,,0,19,55,1,,,,498.9051531
3,,0.475,55.14090718,0.989517165,-1.955517374,7.423741002,-22.50180663,2000,0,,2,1,8,206,0,0.90531529,0.998951763,-1000.569512,274001.0902
3,,,,,,,,1000,0,,,0,,,,,,,
3,,,5000.10788,,,,,5000,0,,14,1,8,238,0.333333333,-0.827908312,0.798567407,-533.6769597,-0.890270133
3,,,,,,,,50,50,,24,0,,,,,,,
3,,0.862803863,,,,,,,0,1,8,0,,,,,,,
3,,0,,,,,,10,0,,6,0,8,210,1,0.862574952,0.700774008,-0.960192584,20002.91932
1,,0.637037037,,,,,,1000,,,20,0,19,211,0.6,0.058868769,0.999996499,-94703.86474,2474003.293
3,,,,,,,,1000,0,,,0,,,,,,,
0,,2.666666667,,,,,,10,0,,,0,8,211,-0.333333333,-0.600411465,-5.007810907,-0.22490465,66666.78248
3,,,,,,,,1000,0,,,0,,,,,,,
3,,,,,,,,3000,3000,,1,0,,,,,,,
3,,2.642857143,-1.671733911,-0.565013156,0.263284129,-4.398216233,-6.851549998,3,0,,2,0,8,55,1,,0.812425391,7422.576312,37998.46868
3,,,,,,,,30,30,,1,0,8,211,-1,-0.45585738,-2.849497226,-0.352800255,1.551652422
3,,,,,,,,100,,,,0,,,,,,,
3,,1.15,,,,,,770,770,,3,0,,,,,,,
3,,,,,,,,60,60,,,0,8,108,-1,0.962170948,0.036154726,0.424656508,-0.314611758
3,,,999.5918983,0.000605958,0.882728042,0.095258898,-1.347832245,1000,1000,,2,0,8,211,0.2,-0.913122599,1.238575165,0.015478785,2399999.582
2,,0.394197643,,,,,,5000,0,,30,0,8,238,0,-0.005486058,0.948443011,-6762319.526,898846749.5
2,,0.394197643,,,,,,5000,0,,30,0,8,238,0,-0.005486058,0.948443011,-6762319.526,898846749.5
2,,0.394197643,,,,,,5000,0,,30,0,8,238,0,-0.005486058,0.948443011,-6762319.526,898846749.5
3,,,,,,,,500,0,,,0,,,,,,,
3,,,,,,,,10,,,,0,,,,,,,
3,,,,,,,,1000,1000,,3,0,,,,,,,
3,,,,,,,,200,0,,,0,,,,,,,
3,,,,,,,,200,200,,,0,,,,,,,
3,,0.722222222,,,,,,0,0,,1,0,,,,,,,
3,,,,,,,,5000,,,1,0,19,7,-1,-0.026426758,16.61281376,0.057601066,1.986153446
3,,,,,,,,10,,,,0,,,,,,,
3,,,,,,,,60,60,,,0,8,108,1,-1.012959851,-7.747898485,-0.17535741,1.187963696
2,,0.615718179,,,,0.625636633,,0,0,,20,0,10,168,0,1.391166697,13.69090452,1.205781982,-0.573884603
3,,,,,,,,10000,0,,,1,8,222,0.333333333,-0.908456752,-0.028467363,-98.78661156,-0.440627262
3,,0.533333333,,,,,,10000,10000,,14,0,,,,,,,
3,,,,,,,,50,50,,1,0,8,67,,,,,
3,,0.694444444,,,,,,0,0,1,30,0,6,170,-1,-0.798718455,1.694882374,-0.338327839,-0.32864006
3,,1,1303.487761,0.185470454,232.7337803,190.3553975,-0.207794663,1000,1000,,9,0,8,238,0.333333333,0.838393991,0.187359132,-30482.69871,0.389535643
3,,,,,,,,2000,0,,5,0,8,222,-0.333333333,-0.186206125,-0.184178573,-156791.1529,667.0109477
3,,,,,,,,10,10,,,0,,,,,,,
3,,,,,,,,0,0,,,0,8,104,0.2,0.086295251,0.740471929,-7221.851984,9176.951555
2,,0.387004831,,,,,,0,,1,4,0,1,167,0,-0.202524122,-0.654909888,-1.11549214,0.631291324
3,,1.94047619,,,,,,50,0,,,0,19,206,1,1.486654041,-0.64067557,0.869696299,-0.137469827
3,299.7152914,0.877777778,305.5054128,0.646717015,-114.0812106,-114.3796353,0.945769777,100,100,,20,0,8,222,0.666666667,0.062244185,1.001466695,-50944.69315,938411.9502
3,,,,,,,,1000,100,,2,1,8,195,1,0.307743992,0.130931432,-1.657556741,-0.639753314
3,,0.5,,,,,,,0,1,7,0,,,,,,,
3,,0.489583333,,,,,,3000,0,,7,0,15,168,0,-0.297015298,0.638994269,1824180.11,108381499.8
3,,,,,,,,400,0,,,0,,,,,,,
3,,0.694871795,,,,,,,0,,,0,8,112,0.333333333,0.175624873,2.378587938,-0.653232498,-0.410330583
3,,,,,,,,10,0,,3,0,,,,,,,
3,,,,,,,,2000,0,,,0,8,221,-1,-0.913412323,0.179834147,0.567434213,-1.19216956
3,7.988631141,0.933333333,1567.047146,0.277718678,15.91230374,23.93217953,-10.074649,10000,1000,,15,0,8,192,0.333333333,-0.490063337,0.999691501,-143445.6468,22778189.99
3,,,,,,,,50,,,3,0,,,,,,,
3,,,30.59959919,0.050967637,0.806286774,0.845167354,0.185689376,50,50,,6,0,19,127,1,0.67157678,0.502211767,-116734.3372,238891.6866
3,,,98.09515513,-0.000722173,0.284594805,1.464021234,5.089514545,100,0,,,0,8,55,1,,1.000081604,-15131.89449,98.72295985
3,,0.488333333,,,,,,1000,1000,,7,0,8,192,0.666666667,0.473748508,1.006164382,-9928838.609,56875800.35
3,,,,,,,,1000,1000,,5,0,,,,,,,
3,,0.616880342,909.5907462,0.359421488,-0.946125031,-0.185860056,0.795900931,2000,2000,,21,0,,,,,,,
3,,,,,,,,500,0,,,0,,,,,,,
3,,,,,,,,5000,5000,1,3,0,,,,,,,
3,,2.2,,,,,,100,100,,,0,19,106,0,-0.390637408,-2.606807811,-730.7236027,8199.622416
3,,,,,,,,1000,0,,,0,8,192,-1,0.243894115,-0.817128218,-0.323363867,0.732118543
3,,0.574303406,,,,,,0,0,1,18,0,,,,,,,
3,,1.666666667,,,,,,30,0,,1,0,8,210,0,-0.178574099,4.611126798,0.038545875,0.603473974
3,,,,,,,,0,,,,0,,,,,,,
3,,,,,,,,1000,1000,,2,0,,,,,,,
3,,0.45,2758.403985,0.505322834,0.071613864,-1.001074629,-1.947006397,1000,1000,,10,1,8,192,-1,0.861685427,0.840672907,-679214.744,26647400.38
3,,0.828011204,,,,,,0,0,1,7,0,,,,,,,
3,,0.573863636,,,,,,5000,1000,,3,0,,,,,,,
3,,1.722222222,,,,,,1000,0,,13,0,8,222,-0.333333333,0.621874778,-0.43732192,-1449.421721,684332.9685
3,,,999.627272,-0.001216671,4.566509001,-0.386273933,4.122746215,1000,1000,,2,1,8,238,-0.5,-0.909445055,2.827291104,-1826.117363,6666927.07
3,,,,,,,,10,0,,,0,,,,,,,
3,,,,,,,,50,50,,,0,,,,,,,
3,,,,,,,,1000,1000,,4,0,8,222,0.2,-0.0142936,0.999990539,-24107.06612,7499999.663
3,,,,,,,,0,0,,4,0,8,211,-1,0.117337248,0.834700779,-0.662620798,0.985834101
3,,0.65,1.069514511,1.560470745,-0.345213264,-0.764200893,-0.503487416,20,0,,,0,8,210,-1,-0.421529022,-1.367442055,-1.513183743,-0.842250325
1,,0.711111111,598.4887267,0.824240554,-0.32501745,-0.77820143,-0.132271403,83.7,83.7,,,0,2,94,0.333333333,-0.227947093,0.690085486,-0.56501539,193333.4829
3,,0.620707071,,,,,,0,0,,8,0,9,45,,,,,
3,,,,,,,,8000,0,,5,0,8,211,1,1.578763078,-0.786329123,-1.036717147,-1.005910134
3,,0.521663457,,,-12.2220965,-12.218895,,0,0,1,10,0,1,176,-0.5,0.124605696,0.472780759,-0.103029489,999999.5506
3,,,977.7851487,0.000397066,-0.299931453,0.149771987,1.311219803,1000,1000,,5,0,8,211,0,-0.222878126,0.359858935,-21274.71489,7350562.845
3,,,67.86169057,0.000114138,,-0.039685369,0.97278365,110,110,,3,0,8,61,0,,0.99999971,-106013.9427,773866.888
3,,1,10.41194369,,,,,10,10,,1,0,,,,,,,
3,,,,,,,,10,0,,,0,8,144,1,-0.494169429,-0.829797176,-0.959503892,0.70859051
3,,,17.56103543,0.005808247,-0.315558531,-0.111589016,2.007026013,100,20,,,0,8,61,-1,,,,174000.7854
3,30.97045694,0.746753247,,,,,,1000,1000,,21,0,8,192,0.333333333,0.395590651,0.453036547,-27076.02102,3300366.436
3,56.13351698,1.083333333,,,,,,1600,1600,,10,0,8,192,0,-0.374630272,0.997614696,-325400.5941,36181139.41
3,235.6476662,3,,,,,,500,500,,11,0,8,222,0.5,-0.02004137,0.703979905,-9039.712177,3305213.46
3,,0.625,,,,,,30,30,,,0,8,63,,,,,
2,,,,,,,,10000,10000,3,12,0,19,222,0.5,0.116216224,1.739651906,-1079479.792,85651749.25
3,3.707150676,1.5,,,,,,2000,100,,18,0,8,210,0,0.383903097,-0.864474174,-362.7085787,282620.9206
3,,,,,,,,50,0,,,0,,,,,,,
3,,,,,,,,0,,,1,0,,,,,,,
3,,,,,,,,50,,,1,0,,,,,,,
3,,0.722222222,1000.174542,-0.001582694,0.634869361,-1.253453275,1.052730653,1000,1000,,,0,8,238,0,0.823249505,-1.35000792,0.652902835,0.256278817
3,,0.140918822,,,,,,1050,1050,1,7,0,19,156,-0.333333333,-0.697386895,1.166611709,829565.8901,26466050.16
3,,0.140918822,,,,,,1050,1050,1,7,0,19,156,-0.333333333,-0.697386895,1.166611709,829565.8901,26466050.16
3,,,,,,,,300,,,,0,8,61,,,,,
3,,1,,,,,,5000,5000,,40,0,8,115,0,1.689303363,0.783152925,6480.718905,1566667.142
3,,,,,,,,10,0,,,0,,,,,,,
3,,,,,,,,30,0,,2,0,,,,,,,
3,,,,,,,,50,,,4,0,,,,,,,
3,,,,,,,,10,,,3,0,,,,,,,
3,,0.584415584,10.06253634,0.023957522,-2.767047459,20.0468302,5.132898868,10,10,,,0,,,,,,,
3,,,,,,,,3000,0,,2,0,19,211,-1,0.259035872,0.332348704,-1.03874077,-2.723522267
3,,,,,,,,100,0,,,1,8,211,-1,-1.377675341,3.434852569,-0.10763991,-0.789952414
3,,0.5,,,,,,500,0,,,0,19,206,-1,-0.608117478,3.201250868,-6899.426575,2635899.316
3,,,,,,,,100,100,1,,0,,,,,,,
3,,,,,,,,500,100,,13,0,8,0,,,,,
3,,,,,,,,100,0,,,0,19,183,-1,-1.078417547,-0.417002029,1.672119834,-1.285761491
3,197.2275833,0.946581197,1333.165025,0.213392034,199.2433457,196.973067,12.24967978,1000,1000,,2,0,8,237,-0.333333333,0.039182517,0.976997055,-111299.7801,5500001.187
3,,,,,,,,0,0,1,,0,19,206,1,0.866714021,2.493631872,-0.457100589,-1.014267921
3,,,,,,,,0,,,2,0,,,,,,,
3,,0.541005291,,,,,,0,,,,0,8,222,1,0.730317145,0.999999083,-111470.1051,28243499.07
3,,,,,,,,100,100,1,,0,,,,,,,
